comparacoes,atribuicoes,tempo_execucao,algoritmo,tamanho_array,tipo_array
46,130,176,QuickSort,10,ordenado_cresc
86,232,318,HeapSort,10,ordenado_cresc
62,242,304,MergeSort,10,ordenado_cresc
84,232,316,QuickSort,10,ordenado_descr
176,470,646,HeapSort,10,ordenado_descr
124,484,608,MergeSort,10,ordenado_descr
130,360,490,QuickSort,10,quase_ordenado
257,693,950,HeapSort,10,quase_ordenado
186,726,912,MergeSort,10,quase_ordenado
164,450,614,QuickSort,10,aleatorio
345,932,1277,HeapSort,10,aleatorio
248,968,1216,MergeSort,10,aleatorio
1016,2020,3036,QuickSort,100,ordenado_cresc
2705,5758,8463,HeapSort,100,ordenado_cresc
1375,5120,6495,MergeSort,100,ordenado_cresc
2192,4296,6488,QuickSort,100,ordenado_descr
5058,10592,15650,HeapSort,100,ordenado_descr
2502,9272,11774,MergeSort,100,ordenado_descr
3262,6326,9588,QuickSort,100,quase_ordenado
7392,15390,22782,HeapSort,100,quase_ordenado
3629,13424,17053,MergeSort,100,quase_ordenado
4170,8030,12200,QuickSort,100,aleatorio
9729,20171,29900,HeapSort,100,aleatorio
4756,17576,22332,MergeSort,100,aleatorio
21113,37282,58395,QuickSort,1000,ordenado_cresc
48524,93661,142185,HeapSort,1000,ordenado_cresc
20775,75448,96223,MergeSort,1000,ordenado_cresc
37895,65420,103315,QuickSort,1000,ordenado_descr
87527,167609,255136,HeapSort,1000,ordenado_descr
36794,133320,170114,MergeSort,1000,ordenado_descr
55609,93916,149525,QuickSort,1000,quase_ordenado
126507,241519,368026,HeapSort,1000,quase_ordenado
52813,191192,244005,MergeSort,1000,quase_ordenado
74390,126532,200922,QuickSort,1000,aleatorio
165448,315214,480662,HeapSort,1000,aleatorio
68832,249064,317896,MergeSort,1000,aleatorio
309225,491268,800493,QuickSort,10000,ordenado_cresc
708222,1309356,2017578,HeapSort,10000,ordenado_cresc
281455,997136,1278591,MergeSort,10000,ordenado_cresc
554318,877278,1431596,QuickSort,10000,ordenado_descr
1251924,2305057,3556981,HeapSort,10000,ordenado_descr
494078,1745208,2239286,MergeSort,10000,ordenado_descr
780385,1224252,2004637,QuickSort,10000,quase_ordenado
1794884,3299288,5094172,HeapSort,10000,quase_ordenado
706701,2493280,3199981,MergeSort,10000,quase_ordenado
1008297,1586672,2594969,QuickSort,10000,aleatorio
2337794,4293709,6631503,HeapSort,10000,aleatorio
919324,3241352,4160676,MergeSort,10000,aleatorio
4202768,6609306,10812074,QuickSort,100000,ordenado_cresc
9291717,16776041,26067758,HeapSort,100000,ordenado_cresc
3542155,12385984,15928139,MergeSort,100000,ordenado_cresc
7198646,11113276,18311922,QuickSort,100000,ordenado_descr
16242694,29254159,45496853,HeapSort,100000,ordenado_descr
6164986,21530616,27695602,MergeSort,100000,ordenado_descr
10134256,15598794,25733050,QuickSort,100000,quase_ordenado
23191227,41727137,64918364,HeapSort,100000,quase_ordenado
8787817,30675248,39463065,MergeSort,100000,quase_ordenado
13155000,20211310,33366310,QuickSort,100000,aleatorio
30142497,54205285,84347782,HeapSort,100000,aleatorio
11410648,39819880,51230528,MergeSort,100000,aleatorio
50387071,76588772,126975843,QuickSort,1000000,ordenado_cresc
114543888,203723806,318267694,HeapSort,1000000,ordenado_cresc
42428503,147576992,190005495,MergeSort,1000000,ordenado_cresc
87033894,130827674,217861568,QuickSort,1000000,ordenado_descr
198964195,353271161,552235356,HeapSort,1000000,ordenado_descr
73446358,255334104,328780462,MergeSort,1000000,ordenado_descr
123521140,185516532,309037672,QuickSort,1000000,quase_ordenado
283373893,502803585,786177478,HeapSort,1000000,quase_ordenado
104464213,363091216,467555429,MergeSort,1000000,quase_ordenado
162755274,245740340,408495614,QuickSort,1000000,aleatorio
367790680,652345861,1020136541,HeapSort,1000000,aleatorio
135482068,470848328,606330396,MergeSort,1000000,aleatorio
