Tamanho,Tipo,Comparações,Trocas (Atribuições),Custo Relativo,Tempo (s)
10,Ordenada,45,0,45,0.0
10,Inversamente Ordenada,45,45,90,0.0
10,Quase Ordenada,45,5,50,0.0
10,Aleatória,45,15,60,0.0
100,Ordenada,4950,0,4950,0.0
100,Inversamente Ordenada,4950,4950,9900,0.0
100,Quase Ordenada,4950,488,5438,0.0
100,Aleatória,4950,2312,7262,0.003488302230834961
1000,Ordenada,499500,0,499500,0.025393009185791016
1000,Inversamente Ordenada,499500,499500,999000,0.0540003776550293
1000,Quase Ordenada,499500,60522,560022,0.02999258041381836
1000,Aleatória,499500,247601,747101,0.04158353805541992
10000,Ordenada,49995000,0,49995000,2.726898193359375
10000,Inversamente Ordenada,49995000,49995000,99990000,6.073014736175537
10000,Quase Ordenada,49995000,5941844,55936844,3.4240894317626953
10000,Aleatória,49995000,25017935,75012935,4.6488728523254395
