comparacoes,atribuicoes,tempo_execucao,algoritmo,tamanho_array,tipo_array
43,124,167,QuickSort,10,ordenado_cresc
90,239,329,HeapSort,10,ordenado_cresc
62,242,304,MergeSort,10,ordenado_cresc
94,262,356,QuickSort,10,ordenado_descr
152,411,563,HeapSort,10,ordenado_descr
105,484,589,MergeSort,10,ordenado_descr
144,404,548,QuickSort,10,quase_ordenado
243,655,898,HeapSort,10,quase_ordenado
163,726,889,MergeSort,10,quase_ordenado
180,492,672,QuickSort,10,aleatorio
319,857,1176,HeapSort,10,aleatorio
219,968,1187,MergeSort,10,aleatorio
1299,2734,4033,QuickSort,100,ordenado_cresc
2736,5793,8529,HeapSort,100,ordenado_cresc
1346,5120,6466,MergeSort,100,ordenado_cresc
2190,4438,6628,QuickSort,100,ordenado_descr
4658,9751,14409,HeapSort,100,ordenado_descr
2117,9272,11389,MergeSort,100,ordenado_descr
3163,6130,9293,QuickSort,100,quase_ordenado
7002,14537,21539,HeapSort,100,quase_ordenado
3222,13424,16646,MergeSort,100,quase_ordenado
4111,7982,12093,QuickSort,100,aleatorio
9137,18876,28013,HeapSort,100,aleatorio
4287,17576,21863,MergeSort,100,aleatorio
20393,34802,55195,QuickSort,1000,ordenado_cresc
48392,93088,141480,HeapSort,1000,ordenado_cresc
20306,75448,95754,MergeSort,1000,ordenado_cresc
37979,65774,103753,QuickSort,1000,ordenado_descr
82014,156325,238339,HeapSort,1000,ordenado_descr
31281,133320,164601,MergeSort,1000,ordenado_descr
53752,91592,145344,QuickSort,1000,quase_ordenado
120811,229746,350557,HeapSort,1000,quase_ordenado
47073,191192,238265,MergeSort,1000,quase_ordenado
69602,119514,189116,QuickSort,1000,aleatorio
157361,298735,456096,HeapSort,1000,aleatorio
62456,249064,311520,MergeSort,1000,aleatorio
291267,473774,765041,QuickSort,10000,ordenado_cresc
704362,1301056,2005418,HeapSort,10000,ordenado_cresc
275079,997136,1272215,MergeSort,10000,ordenado_cresc
529372,842390,1371762,QuickSort,10000,ordenado_descr
1191360,2184852,3376212,HeapSort,10000,ordenado_descr
418694,1745208,2163902,MergeSort,10000,ordenado_descr
760882,1211870,1972752,QuickSort,10000,quase_ordenado
1731238,3172925,4904163,HeapSort,10000,quase_ordenado
628497,2493280,3121777,MergeSort,10000,quase_ordenado
982196,1570150,2552346,QuickSort,10000,aleatorio
2247151,4113978,6361129,HeapSort,10000,aleatorio
833238,3241352,4074590,MergeSort,10000,aleatorio
4128520,6433738,10562258,QuickSort,100000,ordenado_cresc
9213700,16622280,25835980,HeapSort,100000,ordenado_cresc
3456069,12385984,15842053,MergeSort,100000,ordenado_cresc
7110198,11046802,18157000,QuickSort,100000,ordenado_descr
15562585,27931695,43494280,HeapSort,100000,ordenado_descr
5224996,21530616,26755612,MergeSort,100000,ordenado_descr
10067656,15565372,25633028,QuickSort,100000,quase_ordenado
22467500,40320811,62788311,HeapSort,100000,quase_ordenado
7818596,30675248,38493844,MergeSort,100000,quase_ordenado
13198245,20231872,33430117,QuickSort,100000,aleatorio
29126027,52235366,81361393,HeapSort,100000,aleatorio
10364517,39819880,50184397,MergeSort,100000,aleatorio
50690578,77192896,127883474,QuickSort,1000000,ordenado_cresc
113696373,202052603,315748976,HeapSort,1000000,ordenado_cresc
41382372,147576992,188959364,MergeSort,1000000,ordenado_cresc
88967439,134365552,223332991,QuickSort,1000000,ordenado_descr
192264842,340286676,532551518,HeapSort,1000000,ordenado_descr
62333795,255334104,317667899,MergeSort,1000000,ordenado_descr
129544056,196743898,326287954,QuickSort,1000000,quase_ordenado
276218950,488949055,765168005,HeapSort,1000000,quase_ordenado
93097789,363091216,456189005,MergeSort,1000000,quase_ordenado
166142842,252049208,418192050,QuickSort,1000000,aleatorio
357679558,632857296,990536854,HeapSort,1000000,aleatorio
123444909,470848328,594293237,MergeSort,1000000,aleatorio
